conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,cosmetic chemist,released,formulation development chemist | cosmetics formulation chemist | research chemist | cosmetics formulator | cosmetics formulations chemist | cosmetic chemist | cosmetics formulation development chemist | cosmetics development formulator | skin care formulation chemist | cosmetics research chemist | cosmetics development chemist,"Cosmetic chemists develop formulas in order to create and test new cosmetic products and improve existing cosmetic products such as perfumes and fragrances, lipstick, waterproof lotions and makeup, hair dye, soaps and detergents with special properties, topical medicines or health supplements.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemist
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,environmental scientist,released,green infrastructure analyst | environmental researcher | land survey technician | geologist | geological technician | environmental impact expert | regulatory compliance environmental professional | environmental surveyor | environmental scientist advisor | environmental chemist | environmental scientist | geological technologist | environmental field scientist | environmental engineer | soil scientist | ecosystem restoration project manager | mineral technician | mineral technologist | field scientist," Environmental scientists identify problems and find solutions in order to minimize environmental hazards by performing analysis on samples such as air, water or soil. They advise on or develop environmental policies and aim to improve water supplies preservation and manage waste disposal sites. Environmental scientists perform environmental risk assessments and analyse the environmental impact of new solutions, construction sites or environmental changes ensuring the environmental regulations are followed.",http://data.europa.eu/esco/isco/C2133,Environmental protection professionals
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociologist,released,sociology research analyst | rural sociology analyst | rural sociology scholar | rural sociology research scientist | rural sociologist | economic sociology analyst | urban sociology scientist | gerontologist | rural sociology science researcher | economic sociology science researcher | economic sociology scholar | urban sociology analyst | sociology scientist | economic sociology scientist | intercultural communications adviser | sociologist | family and consumer science researcher | rural sociology scientist | urban sociology research analyst | sociology science researcher | sociology researcher | urban sociology research scientist | sociologists | urban sociologist | urban sociology science researcher | sociology research scientist | economic sociologist | sociology scholar | urban sociology researcher | urban sociology scholar | economic sociology research scientist | sociology analyst | rural sociology researcher | law sociologist | economic sociology research analyst | rural sociology research analyst | economic sociology researcher,"Sociologists focus their research on explaining social behaviour and the way people have organised themselves as a society. They research and explain the way societies have evolved by describing their legal, political, and economic systems and their cultural expressions.",http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biophysicist,released,biophysics biotechnologist | biophysics analyst | biophysicist | bio-physicist | biophysics research scientist | biophysics scientist | biophysics researcher | biophysics scholar | biophysics science researcher | biophysics research analyst,"Biophysicists study the existing relation between living organisms and physics. They conduct research on living organisms based on the methods of physics that aim to explain the complexity of life, predict patterns, and draw conclusions about aspects of life. Biophysicists' research fields cover DNA, proteins, molecules, cells, and environments.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologist
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,media scientist,released,media research analyst | media studies scholar | media anthropologist | media research scientist | media analyst | media scholars | media studies researcher | media studies scientist | media science researcher | media researcher | media scientist | media studies research scientist,"Media scientists research the role and impact that media has on the society. They observe and document the usage of different kinds of media such as newspapers, radio and TV and the response from society.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,anthropologist
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,nursing lecturer,released,university nursing lecturer | nursing instructor | university nursing teacher | university nursing instructor | professor of nursing | senior lecturer in nursing | lecturer in nursing | university lecturer in nursing | nurse lecturer | nursing lector | nursing sciences lector | higher education nursing teacher | higher education nursing instructor | lector in nursing sciences | lector in nursing | nursing lecturer | lector in nursing science | nursing docent | nursing science lector | lecturer in nursing sciences | lecturer in nursing science | nursing professor | nursing teacher,"Nursing lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, nursing, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of nursing, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorologist,released,atmospheric research scientist | meteorologist | atmospheric science researcher | atmospheric researcher | atmospheric analyst | meteorology research analyst | atmospheric scientist | marine meteorologist | meteorology research scientist | meteorology analyst | meteorology researcher | atmospheric research analyst | meteorology science researcher | meteorology scientist,"Meteorologists study climate processes, measure and predict weather patterns and provide consultancy services to a variety of weather information users. They work out models for weather forecasting, develop instruments to collect meteorological data and compile statistics and databases.",http://data.europa.eu/esco/isco/C2112,Meteorologists
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,electromagnetic engineer,released,electro magnetics engineer | electromagnetic technology engineering consultant | electromagnetic design engineer | electromagnetic engineering expert | engineer of electromagnetic systems | electromagnetics engineer | engineer in electromagnetic systems | electromagnetic technology engineering expert | electromagnetic engineering specialist | engineer specialist in electromagnetics | electromagnetic engineering adviser | EMC engineer | electromagnetic technology engineering specialist | engineer in electromagnetic compatibility | engineer in electromagnetic systems design | electromagnetic engineer | electromagnetic compatibility engineer | electromagnetic engineering consultant | electro-magnetics engineer | electro-magnetic engineer | electro magnetic engineer | electromagnetic technology engineer | electromagnetic technology engineering adviser | electromagnetic systems engineer,"Electromagnetic engineers design and develop electromagnetic systems, devices, and components, such as electromagnets in loudspeakers, electromagnetic locks, conducting magnets in MRI's, and magnets in electric motors.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,electrical engineer
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,archaeologist,released,archaeology scholar | archaeology research scientist | epigraphist | archaeology analyst | archeologist | archaeology research analyst | archaeology researcher | marine archaeology science researcher | archaeologist scientist | marine archaeologist | excavation director | marine archaeology scholar | marine archaeology scientist | marine archaeology analyst | marine archaeology research analyst | marine archaeology researcher | archaeology science researcher | archaeology scientist | marine archaeology research scientist,"Archaeologists research and study past civilisations and settlements through collecting and inspecting material remains. They analyse and draw conclusions on a wide array of matters such as hierarchy systems, linguistics, culture, and politics based on the study of objects, structures, fossils, relics, and artifacts left behind by these peoples. Archaeologists utilise various interdisciplinary methods such as stratigraphy, typology, 3D analysis, mathematics, and modelling.",http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,physiologist,released,anatomist | anatomy researcher | physiology science researcher | physiology research scientist | physiology research analyst | anatomy research scientist | physiologist | physiology analyst | anatomy scientist | anatomy science researcher | physiology researcher | physiology scientist | physiologists | anatomy analyst | anatomy research analyst,"Physiologists study and exert research on the functioning of different living organisms, the parts they are composed of, and their interactions. They understand the fashion in which living systems react to factors such as diseases, physical activity, and stress, and use that information to develop methods and solutions to even out the effect that those stimuli have in living bodies.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologist
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,released,data scientist | data research scientist | research data scientist | data expert | data engineer,"Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data.",http://data.europa.eu/esco/isco/C2511,Systems analysts
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,business lecturer,released,commerce professor | commerce docent | lecturer in commerce | professor of business administration | commerce instructor | university lecturer in business | university teacher of business | commerce lecturer | business professor | business docent | business instructor | business lector | business lecturer | lecturer of business | professor of business | commerce teacher | lecturer in business administration | business teacher | higher education teacher of business | senior lecturer in business | instructor of business | lecturer in business | commerce lector | university business lecturer,"Business lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, business, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants 
for the preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of business, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,earth science lecturer,released,geoscience lector | geology lecturer | specialist lecturer in earth sciences | geology professor | geography lecturer | lecturer of earth sciences | earth science teacher | geoscience lecturer | university earth sciences lecturer | earth science instructor | instructor in earth sciences | earth science lecturer | geoscience professor | geoscience instructor | lecturer in earth science | lecturer of geoscience | lecturer in earth sciences | earth science professor | professor of earth science | geography professor | university lecturer in earth sciences | earth science lector | professor of geography | geoscience teacher | lecturer in geoscience | earth science docent | senior lecturer in earth sciences | earth sciences professor | geoscience docent | professor of geology | higher education earth sciences teacher,"Earth science lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, earth science, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants in preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of earth science, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,optoelectronic engineer,released,specialist in optoelectronics | optoelectronic engineering adviser | optoelectronic engineering consultant | optoelectronic engineer | engineer in optoelectronic systems | optoelectronic technology engineering expert | engineer in optoelectronics | optoelectronics specialist | optoelectronic technology engineering specialist | optoelectronic technology engineering adviser | opto-electronics engineer | optoelectronic technology engineering consultant | optoelectronic engineering expert | opto electronics engineer | opto-electronical engineer | senior optoelectronic engineer | optoelectronic systems engineer | optoelectronics engineer | optoelectronic engineering specialist | optoelectronic technology engineer | opto electronic engineer | optoelectronical engineer | opto electronical engineer | opto-electronic engineer | specialist in optoelectronic systems,"Optoelectronic engineers design and develop optoelectronic systems and devices, such as UV sensors, photodiodes, and LEDs. Optoelectronic engineering combines optical engineering with electronic engineering in the design of these systems and devices. They conduct research, perform analysis, test the devices, and supervise the research.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,electronics engineer
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,social work researcher,released,social research interviewer | social science researcher | social work research manager | social work research assistant | social work research officer | social work researcher | social research worker | communities research worker | social scientist,"Social work researchers manage research projects aiming to investigate and provide reports on social issues. They first perform research by gathering information through interviews, focus groups and questionnaires; followed by organising and analysing the gathered information using computer software packages. They analyse social problems and needs, and the different ways and techniques to respond to them.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociologist
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,veterinary medicine lecturer,released,veterinary science teacher | veterinary science lecturer | clinical lecturer in veterinary medicine | lector in veterinary medicine | veterinary medicine teacher | veterinary science instructor | veterinary science docent | veterinary medicine lector | university clinical lecturer in veterinary medicine | veterinary medicine docent | veterinary clinician | veterinary medicine lecturer | lecturer in veterinary medicine | lecturer of veterinary medicine | veterinary science professor | university veterinary medicine lecturer | veterinary medicine professor | instructor in veterinary medicine | teacher of veterinary medicine | veterinary medicine instructor | professor of veterinary medicine | university lecturer in veterinary medicine,"Veterinary medicine lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, veterinary medicine, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of veterinary medicine, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,dentistry lecturer,released,professor of dentistry | university clinical lecturer in dentistry | dental clinician | clinical lecturer in dentistry | dental science lecturer | university lecturer in dentistry | lecturer in dentistry | dental science lector | dentistry lecturer | dentistry professor | professor of dentistry studies | dentistry instructor | dentistry docent | dental sciences lector | dental sciences lecturer | university dentistry lecturer | dentistry lector | dentistry teacher,"Dentistry lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, dentistry, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of dentistry, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,climatologist,released,climate science researcher | climate research scientist | climatology analyst | climatologist | climatology researcher | climatology scientist | climate scholar | climatology scholar | climatologists | climate research analyst | climate scientist | climate researcher | climate analyst | climatology research analyst | climatology research scientist | climatology science researcher,"Climatologists study the average change in weather and climate from a long-term perspective. They research and analyse historic weather conditions in order to forecast climatic conditions trends such as changes in temperature, global warming, or regional evolutive weather conditions. They use these findings for advising on environmental policy, construction, agricultural projects, and societal matters.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorologist
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,toxicologist,released,toxicology studies researcher | toxicology scientist | toxicology studies analyst | toxicology science researcher | toxicology analyst | toxicology studies scholar | toxicology studies research scientist | toxicology scholar | toxicologist | toxicology research scientist | toxicology studies research analyst | toxicology studies scientist | toxicology research analyst | toxicology researcher | toxicologists,"Toxicologists study the effects that chemical substances or biological and physical agents have in living organisms, more specifically, on the environment and on the animal and human health. They determine doses of the exposure to substances for arising toxic effects in environments, people, and living organisms, and also perform experiments on animals and cell cultures.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologist
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,behavioural scientist,released,behavioural science researcher | behavioural science analyst | behavioural science scholar | behavioural science research analyst | behavioral scientist,"Behavioural scientists research, observe and describe human behaviour in society. They draw conclusions on the motives that stir actions in humans, observe the various circumstances for different behaviours, and describe different personalities. They advise organisations and governmental institutions on this field. They may also analyse the behaviour of animals.",http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,journalism lecturer,released,professor of journalism | journalism and media docent | lecturer in journalism and media studies | journalism lector | journalism lecturer | media studies lecturer | journalism and media professor | journalism and media teacher | journalism and media instructor | university journalism lecturer | professor of media studies | journalism and media lecturer | specialist lecturer in journalism | higher education journalism teacher | media studies teacher | journalism teacher | university lecturer in journalism | lecturer in journalism | media studies instructor | lecturer in journalism and media | media studies docent | journalism docent | media studies professor | lecturer of journalism | journalism instructor | instructor in journalism | journalism professor,"Journalism lecturers and media are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, journalism and media, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of journalism and media, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,communications lecturer,released,lecturer in communication and media | communications instructor | lecturer in communications | communications teacher | university communications teacher | professor of communications | communication and media lecturer | communications docent | communications lecturer | communications lector | professor of communication | university lecturer in communications | university communications lecturer | communications professor | lecturer of communications | higher education communications teacher,"Communications lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, communications, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of communications, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,oceanographer,released,oceanography scientist | marine physicist | oceanography researcher | oceanography science researcher | oceanography analyst | oceanography research scientist | marine geologist | marine chemist | marine research scientist | oceanographers | oceanography research analyst | oceanographer,"Oceanographers study and perform research on matters related to the sea and oceans. Oceanographers divide their expertise in different branches of research which are physical oceanographers whose research focus on waves and tides, chemical oceanographers whose study address the chemical constitution of sea waters, and geological oceanographer whose research refers to the bottom of seas and their plaques.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologist
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,architecture lecturer,released,university lecturer in architectural studies | architecture professor | architecture docent | professor of architectural studies | lecturer of architecture | university architecture lecturer | lecturer in architectural studies | university lecturer in architecture | lecturer in architecture | instructor in architecture | architecture instructor | architecture lecturer | architecture lector | professor of architecture | university architectural studies lecturer | architecture teacher,"Architecture lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, architecture, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of architecture, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,sensor engineer,released,engineer specialised in sensor technology | engineer in sensor technology | sensor technology engineering consultant | sensor technology engineer | sensor engineering consultant | sensor development engineer | engineer of sensors | sensor technology engineering adviser | sensors engineer | actuator and sensor engineer | sensor engineering expert | electronic sensor engineer | engineer of sensors and actuators | sensor design engineer | sensor engineers | sensor engineer | sensor engineering adviser | sensor systems engineer | electronics sensor engineer | specialist sensor engineer | sensor technology engineering specialist | sensor developer | sensor designer | sensor technology engineering expert | sensor engineering specialist | sensor and actuator engineer,"Sensor engineers design and develop sensors, sensor systems and products that are equipped with sensors. They plan and monitor the manufacture of these products.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,electronics engineer
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,political scientist,released,peace researcher | political research scientist | political analyst | public administration researcher | political scientist | political science researcher | political studies researcher | pundit | war researcher | political researcher | political scholar | peace and conflict researcher | political studies research scientist | politics scienctist | political studies scholar | political studies scientist,"Political scientists study political behaviour, activity and systems, including the elements that fall therein. Their study of the field ranges from the origins and evolution of various political systems to topical matters such as decision-making processes, political behaviour, political trends, society, and power perspectives. They advise governments and institutional organisations on governance matters.",http://data.europa.eu/esco/isco/C2633,"Philosophers, historians and political scientists"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psychologist,released,expert counselling psychologist | counselling psychology practitioner | practitioner of counselling psychology | expert in counselling psychology | specialist counselling psychologist | occupational psychologist | sport and exercise psychologist | psychologist | psychology researcher | practitioner of sport and exercise psychology | practitioner of occupational psychology,"Psychologists study the behaviour and mental processes in humans. They provide services to clients who deal with mental health issues and life issues such as bereavement, relationship difficulties, domestic violence, and sexual abuse. They also provide counselling for mental health issues such as eating disorders, post-traumatic stress disorders, and psychosis in order to help the clients rehabilitate and reach a healthy behaviour.",http://data.europa.eu/esco/isco/C2634,Psychologists
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,hydrologist,released,hydrology researcher | hydrology science researcher | hydrology research analyst | hydrologists | hydrological engineer | hydrologist | hydrology scientist | water analysis specialist | hydrogeologist | hydrobiologist | surface hydrologist | hydrology analyst | hydrology research scientist,"Hydrologists research and study the quality, current challenges, and distribution of water in the Earth. They study water supply from rivers, streams, and springs to determine their adequate and sustainable use. Together with a cross functional team of professionals, they plan and develop how water can be supplied to cities and urban areas while ensuring efficiency and resource conservation.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologist
